id	name	element	description	imagepath	attack	defense	power
17	Katara	WATER	Waterbending master from Southern Water Tribe, sister of Sokka, and friend of Aang.	@/../com/avatarduel/card/image/character/Katara.png	13	7	0
18	Sokka	WATER	Water Tribe warrior of the Southern Water Tribe.	@/../com/avatarduel/card/image/character/Sokka.png	6	10	0
19	Yue	WATER	Princess of the Northern Water Tribe.	@/../com/avatarduel/card/image/character/Yue.png	4	9	0
20	Hakoda	WATER	Father of Sokka and Katara, leading the Invasion of the Fire Nation.	@/../com/avatarduel/card/image/character/Hakoda.png	7	11	0
21	Huu	WATER	Waterbending master from Foggy Swamp Tribe.	@/../com/avatarduel/card/image/character/Huu.png	8	5	0
22	Hama	WATER	Developer of bloodbending.	@/../com/avatarduel/card/image/character/Hama.png	12	6	0
23	Pakku	WATER	Aang's teacher for waterbending at Northern Water Tribe.	@/../com/avatarduel/card/image/character/Pakku.png	10	6	0
24	Arnook	WATER	Chief of the Northern Water Tribe.	@/../com/avatarduel/card/image/character/Arnook.png	4	7	0
25	Kuruk	WATER	Water Tribe Avatar, predecessor of Avatar Kyoshi.	@/../com/avatarduel/card/image/character/Kuruk.png	6	14	0
26	Bato	WATER	Friend of Hakoda since childhood.	@/../com/avatarduel/card/image/character/Bato.png	7	9	0
27	Due	WATER	Waterbending master from Foggy Swamp Tribe.	@/../com/avatarduel/card/image/character/Due.png	5	8	0
28	Hahn	WATER	Career-minded soldier from Northern Water Tribe.	@/../com/avatarduel/card/image/character/Hahn.png	8	3	0
29	Aang	AIR	Avatar Roku's successor. Also learned how to energybending.	@/../com/avatarduel/card/image/character/Aang.png	14	6	0
30	Appa	AIR	Aang's loyal sky bison friend.	@/../com/avatarduel/card/image/character/Appa.png	5	8	0
31	Momo	AIR	Aang's loyal winged lemur friend.	@/../com/avatarduel/card/image/character/Momo.png	6	5	0
32	Gyatso	AIR	Aang's guardian, mentor, and father figure.	@/../com/avatarduel/card/image/character/Gyatso.png	5	10	0
33	Teo	AIR	Paraplegic Earth Kingdom boy who lived in the Northern Air Temple with his father, the mechanist.	@/../com/avatarduel/card/image/character/Teo.png	5	6	0
34	Yangchen	AIR	Air Nomad Avatar before Aang, predecessor of Kuruk.	@/../com/avatarduel/card/image/character/Yangchen.png	10	8	0
35	Afiko	AIR	Airbender of Southern Air Temple that revealed the location of his home to the Fire Nation.	@/../com/avatarduel/card/image/character/Afiko.png	7	6	0
36	Iio	AIR	Air Nomad nun and the Mother Superior of the Eastern Air Temple.	@/../com/avatarduel/card/image/character/Iio.png	5	8	0
37	Pathik	AIR	A nomadic supercentenarian who possessed great knowledge of the Spirit World.	@/../com/avatarduel/card/image/character/Pathik.png	9	9	0
38	Tashi	AIR	One of five monks in charge of the Southern Air Temple.	@/../com/avatarduel/card/image/character/Tashi.png	7	9	0
39	Wan	AIR	The first Avatar.	@/../com/avatarduel/card/image/character/Wan.png	10	10	0
40	Mechanist	AIR	An inventor and engineer from the Earth Kingdom who became a refugee after being displaced by a flood.	@/../com/avatarduel/card/image/character/Mechanist.png	8	8	0
41	Zuko	FIRE	Prince of the Fire Nation, Fire Lord after Ozai.	@/../com/avatarduel/card/image/character/Zuko.png	12	8	0
42	Azula	FIRE	Princess of the Fire Nation, daughter of Fire Lord Ozai.	@/../com/avatarduel/card/image/character/Azula.png	11	7	0
43	Ozai	FIRE	Fire Lord during the final years of the Hundred Year War.	@/../com/avatarduel/card/image/character/Ozai.png	9	9	0
44	Ty Lee	FIRE	Skilled acrobatic, mastering chi blocking martial arts.	@/../com/avatarduel/card/image/character/Ty Lee.png	9	4	0
45	Combustion Man	FIRE	Firebending assassin and silent bounty hunter that was hired by Zuko to eliminate Aang.	@/../com/avatarduel/card/image/character/Combustion Man.png	11	4	0
46	Chit Sang	FIRE	Inmate at the Boiling Rock prison in the Fire Nation.	@/../com/avatarduel/card/image/character/Chit Sang.png	7	4	0
